model,trial,subsample,reg_lambda,n_estimators,min_child_weight,max_depth,learning_rate,fraud_weight_fraction,colsample_bytree,pr_auc_mean,roc_auc_mean,precision_at_k_mean,pr_auc_std,seconds
lightgbm,0,0.8,10.0,200,20,6,0.05,1.0,0.6,0.5239965208736416,0.8940508879318895,0.9052845528455284,0.018884976368729364,45.12807750701904
lightgbm,1,1.0,1.0,600,5,8,0.1,0.0,0.4,0.5756297915200825,0.900119341814079,0.9268292682926829,0.022174537215630067,111.42025232315063
lightgbm,2,1.0,10.0,400,5,8,0.05,0.25,0.6,0.5547893682020985,0.9023614884285571,0.9170731707317075,0.02046690138184779,82.61674070358276
lightgbm,3,1.0,10.0,600,5,6,0.1,0.25,1.0,0.5556986288675609,0.8938688157714403,0.9199186991869919,0.03198604631851415,75.21728563308716
lightgbm,4,0.8,10.0,200,1,4,0.05,0.25,0.6,0.5105313740437579,0.8862766411478995,0.8967479674796749,0.020634388684014907,41.01951217651367
lightgbm,5,0.6,1.0,200,20,10,0.03,0.0,1.0,0.5416258581194849,0.8937203420204505,0.9138211382113821,0.022310903035078346,45.5079779624939
lightgbm,6,0.8,10.0,600,1,10,0.05,1.0,0.8,0.5489863451353323,0.8966112054669988,0.9150406504065038,0.024479486511736065,103.4713625907898
lightgbm,7,0.8,0.0,400,20,8,0.1,0.25,0.6,0.55780469339567,0.8961659629451308,0.9174796747967481,0.032562242491558105,77.94457650184631
lightgbm,8,0.8,0.0,200,5,6,0.05,0.5,0.6,0.5284726481783782,0.8949985395035386,0.9095528455284553,0.020747579349130896,46.92532300949097
lightgbm,9,0.8,10.0,200,20,6,0.05,0.0,0.4,0.5372096993388538,0.8932989974977316,0.9130081300813009,0.022502302359836943,59.11868596076965
lightgbm,10,1.0,10.0,600,20,8,0.1,0.25,1.0,0.5621139555151603,0.8959731642667867,0.9203252032520325,0.029577388317112586,118.00323343276978
lightgbm,11,0.8,10.0,600,5,8,0.05,0.0,0.6,0.5717539564625987,0.9054101974516591,0.9231707317073171,0.02329651108630829,104.55713605880737
xgboost,0,0.8,10.0,200,20,6,0.05,1.0,0.6,0.4958945636574982,0.88416931279266,0.8790650406504064,0.01850577130626551,77.27014803886414
xgboost,1,1.0,1.0,600,5,8,0.1,0.0,0.4,0.5619264451127386,0.8879639421090552,0.9262195121951219,0.03040114854502967,159.0585446357727
xgboost,2,1.0,10.0,400,5,8,0.05,0.25,0.6,0.543359173134839,0.8917652834282386,0.9134146341463415,0.022424789272741108,140.7207386493683
xgboost,3,1.0,10.0,600,5,6,0.1,0.25,1.0,0.5360063023403898,0.8780066529115997,0.9136178861788619,0.02998980016284627,146.13901543617249
xgboost,4,0.8,10.0,200,1,4,0.05,0.25,0.6,0.493954478634564,0.8801103512002827,0.8794715447154472,0.015552989084717412,58.43749928474426
xgboost,5,0.6,1.0,200,20,10,0.03,0.0,1.0,0.5238419491998607,0.8893338153107953,0.9036585365853659,0.017826663633890457,95.08885383605957
xgboost,6,0.8,10.0,600,1,10,0.05,1.0,0.8,0.5492025725988408,0.8909072949211694,0.9237804878048781,0.017351282351208117,308.52611112594604
xgboost,7,0.8,0.0,400,20,8,0.1,0.25,0.6,0.5373000237587142,0.8788058876958065,0.9126016260162603,0.038877530579120294,128.1248996257782
xgboost,8,0.8,0.0,200,5,6,0.05,0.5,0.6,0.5070481659074485,0.8857245931180845,0.8859756097560976,0.023470170654428062,69.7801148891449
xgboost,9,0.8,10.0,200,20,6,0.05,0.0,0.4,0.522333678410675,0.8865277249027074,0.9056910569105693,0.018554307987789596,65.5330548286438
xgboost,10,1.0,10.0,600,20,8,0.1,0.25,1.0,0.5453830635236157,0.8823843148154065,0.9229674796747969,0.02952695295548186,165.52527737617493
xgboost,11,0.8,10.0,600,5,8,0.05,0.0,0.6,0.5658853740260152,0.8984657847733487,0.9241869918699187,0.023917499358102192,186.47004508972168
